,id,address,region,village,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes
18,1111124,fusheng23,1,fusheng,1,50.0,8.0,1.0,60.0,15.0,,0,1,30.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0
19,1111125,fusheng23,1,fusheng,1,59.0,7.0,0.0,80.0,4.0,,1,1,20.0,0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
20,1111126,fusheng23,1,fusheng,1,51.0,7.0,1.0,30.0,10.0,80.0,0,0,20.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6,1.0,0.0,0.0,1.0
21,1111127,fusheng23,1,fusheng,0,52.0,4.0,1.0,100.0,8.0,,1,1,20.0,0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.4,3.0,0.0,1.0,0.0,,0.0
22,1111128,fusheng23,1,fusheng,1,48.0,6.0,1.0,90.0,8.0,,0,0,50.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.2,3.0,0.39999998,1.0,0.0,,0.0
23,1111130,fusheng23,1,fusheng,1,64.0,6.0,2.0,20.0,4.0,,1,1,30.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0
24,1111131,fusheng23,1,fusheng,0,72.0,12.0,0.0,100.0,4.55,,0,0,50.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.4,3.0,0.0,0.0,0.0,,0.0
25,1111133,fusheng23,1,fusheng,1,48.0,7.0,1.0,,4.5,,1,1,20.0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,,0.0
26,1111136,fusheng23,1,fusheng,0,56.0,7.0,1.0,90.0,5.0,50.0,0,0,30.0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.39999998,1.0,0.0,,1.0
27,1111140,fusheng23,1,fusheng,1,65.0,6.0,2.0,100.0,4.5,,1,1,20.0,1,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,,
28,1111144,fusheng23,1,fusheng,1,45.0,4.0,1.0,90.0,7.5,,0,0,50.0,1,1.0,1,1.0,1.0,1.0,0.0,0.0,0.2,3.0,0.0,1.0,0.0,,0.0
29,1111146,fusheng23,1,fusheng,0,43.0,5.0,2.0,80.0,3.0,,1,1,40.0,0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.4,3.0,0.0,1.0,1.0,,0.0
30,1111147,fusheng23,1,fusheng,1,46.0,4.0,1.0,30.0,4.4,50.0,0,0,20.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
31,1111148,fusheng23,1,fusheng,1,62.0,2.0,1.0,100.0,2.73,30.0,0,0,20.0,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.8,3.0,0.0,1.0,0.0,,1.0
32,1111151,fusheng31,1,fusheng,0,43.0,3.0,1.0,80.0,14.8,,0,0,30.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
33,1111154,fusheng31,1,fusheng,1,62.0,6.0,1.0,60.0,5.88,,1,1,30.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.4,6.0,0.19999999,1.0,0.0,,0.0
34,1111155,fusheng31,1,fusheng,0,53.0,4.0,1.0,100.0,8.0,,0,0,50.0,1,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.39999998,1.0,0.0,,0.0
35,1111161,fusheng31,1,fusheng,1,56.0,7.0,1.0,100.0,5.8,30.0,1,1,40.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.2,2.0,0.39999998,1.0,0.0,0.0,1.0
36,1111162,fusheng31,1,fusheng,1,60.0,6.0,1.0,90.0,8.5,20.0,0,1,0.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,,2.0,0.0,1.0,0.0,0.0,1.0
37,1111163,fusheng31,1,fusheng,1,60.0,5.0,1.0,90.0,5.0,30.0,1,1,20.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.6,2.0,1.0,1.0,0.0,0.0,1.0
38,1111164,fusheng31,1,fusheng,1,54.0,4.0,1.0,100.0,4.1,,0,0,30.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.6,2.0,0.39999998,1.0,0.0,0.0,0.0
39,1111165,fusheng31,1,fusheng,1,53.0,4.0,1.0,100.0,4.1,50.0,1,0,20.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
40,1111166,fusheng31,1,fusheng,1,44.0,4.0,2.0,100.0,4.1,10.0,0,0,50.0,1,1.0,1,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,,1.0
41,1111169,fusheng31,1,fusheng,1,73.0,4.0,2.0,100.0,5.8,70.0,1,0,30.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.2,2.0,0.0,1.0,1.0,1.0,1.0
42,1111170,fusheng31,1,fusheng,1,60.0,6.0,1.0,20.0,6.0,30.0,0,0,50.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.6,6.0,0.0,1.0,0.0,,1.0
43,1111171,fusheng31,1,fusheng,0,71.0,12.0,4.0,100.0,14.0,30.0,1,1,0.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,,1.0
44,1111173,fusheng31,1,fusheng,0,78.0,2.0,0.0,10.0,5.2,,0,0,30.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.2,0.0,0.0,,
45,1111174,fusheng31,1,fusheng,1,44.0,6.0,1.0,90.0,17.0,30.0,1,0,20.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.6,6.0,0.0,1.0,0.0,,1.0
46,1111175,fusheng31,1,fusheng,0,50.0,4.0,1.0,80.0,5.3,30.0,0,0,50.0,0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.19999999,1.0,0.0,0.0,1.0
47,1111176,fusheng31,1,fusheng,1,59.0,6.0,1.0,70.0,5.0,,0,0,40.0,0,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,,0.0
48,1111177,fusheng31,1,fusheng,1,47.0,5.0,1.0,100.0,9.0,50.0,0,0,50.0,0,1.0,1,1.0,1.0,0.0,0.0,1.0,1.0,6.0,0.19999999,1.0,0.0,,1.0
49,1111178,fusheng31,1,fusheng,1,77.0,6.0,1.0,100.0,14.2,,1,1,30.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.6,6.0,0.19999999,1.0,0.0,,0.0
50,1111179,fusheng31,1,fusheng,0,34.0,10.0,2.0,,5.0,60.0,0,0,30.0,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.2,6.0,0.0,1.0,1.0,,1.0
51,1111184,fusheng31,1,fusheng,1,43.0,4.0,2.0,40.0,5.0,10.0,1,0,10.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.2,2.0,1.0,1.0,1.0,0.0,1.0
52,1111185,fusheng31,1,fusheng,1,65.0,6.0,1.0,25.0,6.5,30.0,0,0,50.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.8,2.0,0.0,1.0,0.0,0.0,1.0
53,1111186,fusheng31,1,fusheng,0,61.0,5.0,1.0,60.0,4.0,,1,1,30.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.6,6.0,0.0,1.0,0.0,,0.0
54,1111187,fusheng31,1,fusheng,1,45.0,5.0,3.0,80.0,32.0,,0,0,50.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.2,2.0,1.0,1.0,1.0,0.0,0.0
